Rank,Artist,Song,Genre,Year,Lyrics
21,The Clash,London Calling,Punk Rock   ,1979, 
22,The Rolling Stones,Sympathy for the Devil,Blues Rock   ,1968, 
23,The Beatles,Strawberry Fields Forever,"Progressive Pop,Psychedelic Pop  ",1967, 
24,Little Richard,Tutti Frutti,Rock & Roll   ,1955,"Wop-bop-a-loo-mop alop-bom-bom
Tutti frutti, oh rutti
Tutti frutti, woo!
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Awop-bop-a-loo-mop alop-bom-bom

I got a girl named Sue
She knows just what to do
I got a girl named Sue
She knows just what to do

She rock to the east
She rock to the west
But she's the girl that I love best

Tutti frutti, oh rutti
Tutti frutti, woo!
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Awop-bop-a-loo-mop alop-bom-bom

I got a girl named Daisy
She almost drive me crazy
I got a girl named Daisy
She almost drive me crazy

She knows how to love me
Yes, indeed
Boy, you don't know what she do to me

Tutti frutti, oh rutti
Tutti frutti, woo!
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Awop-bop-a-loo-mop, ow!

Oh, tutti frutti, oh rutti
Tutti frutti, woo!
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Awop-bop-a-loo-mop alop-bom-bom

I got a girl named Daisy
She almost drive me crazy
I got a girl named Daisy
She almost drive me crazy

She knows how to love me
Yes, indeed
Boy, you don't know what she do to me

Tutti frutti, oh rutti
Tutti frutti, woo!
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Tutti frutti, oh rutti
Awop-bop-a-loo-mop alop-bam-boom"
25,Led Zeppelin,Stairway to Heaven,"Folk Rock,Hard Rock,Progressive Rock ",1971,"There's a lady who's sure all that glitters is gold
And she's buying a stairway to Heaven
When she gets there she knows, if the stores are all closed
With a word she can get what she came for
Ooh, ooh, and she's buying a stairway to Heaven
There's a sign on the wall, but she wants to be sure
'Cause you know sometimes words have two meanings
In a tree by the brook, there's a songbird who sings
Sometimes all of our thoughts are misgiven

Ooh, makes me wonder
Ooh, makes me wonder

There's a feeling I get when I look to the west
And my spirit is crying for leaving
In my thoughts I have seen rings of smoke through the trees
And the voices of those who stand looking

Ooh, it makes me wonder
Ooh, really makes me wonder

And it's whispered that soon if we all call the tune
Then the piper will lead us to reason
And a new day will dawn for those who stand long
And the forests will echo with laughter

Oh-oh-oh-oh-whoa

If there's a bustle in your hedgerow, don't be alarmed, now
It's just a spring clean for the May queen
Yes, there are two paths you can go by, but in the long run
There's still time to change the road you're on

And it makes me wonder
Oh, whoa

Your head is humming and it won't go, in case you don't know
The piper's calling you to join him
Dear lady, can you hear the wind blow? And did you know
Your stairway lies on the whispering wind?

And as we wind on down the road
Our shadows taller than our soul
There walks a lady we all know
Who shines white light and wants to show
How everything still turns to gold
And if you listen very hard
The tune will come to you at last
When all are one and one is all
To be a rock and not to roll

And she's buying a stairway to Heaven"
26,Grandmaster Flash and The Furious Five,The Message,"Conscious Hip Hop,East Coast Hip Hop  ",1982,"It's like a jungle sometimes
It makes me wonder how I keep from going under
[x2]

Broken glass everywhere
People pissing on the stairs, you know they just don't care
I can't take the smell, can't take the noise
Got no money to move out, I guess I got no choice
Rats in the front room, roaches in the back
Junkies in the alley with a baseball bat
I tried to get away but I couldn't get far
Cause a man with a tow truck repossessed my car

[Hook:]
Don't push me 'cause I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from going under

Standing on the front stoop hanging out the window
Watching all the cars go by, roaring as the breezes blow
Crazy lady, living in a bag
Eating out of garbage pails, used to be a fag hag
Said she'll dance the tango, skip the light fandango
A Zircon princess seemed to lost her senses
Down at the peep show watching all the creeps
So she can tell her stories to the girls back home
She went to the city and got social security
She had to get a pimp, she couldn't make it on her own

[Hook]

My brother's doing bad, stole my mother's TV
Says she watches too much, it's just not healthy
All My Children in the daytime, Dallas at night
Can't even see the game or the Sugar Ray fight
The bill collectors, they ring my phone
And scare my wife when I'm not home
Got a bum education, double-digit inflation
Can't take the train to the job, there's a strike at the station
Neon King Kong standing on my back
Can't stop to turn around, broke my sacroiliac
A mid-range migraine, cancered membrane
Sometimes I think I'm going insane
I swear I might hijack a plane!

[Hook]

My son said, Daddy, I don't wanna go to school
'Cause the teacher's a jerk, he must think I'm a fool
And all the kids smoke reefer, I think it'd be cheaper
If I just got a job, learned to be a street sweeper
Or dance to the beat, shuffle my feet
Wear a shirt and tie and run with the creeps
'Cause it's all about money, ain't a damn thing funny
You got to have a con in this land of milk and honey
They pushed that girl in front of the train
Took her to the doctor, sewed her arm on again
Stabbed that man right in his heart
Gave him a transplant for a brand new start
I can't walk through the park 'cause it's crazy after dark
Keep my hand on my gun 'cause they got me on the run
I feel like a outlaw, broke my last glass jaw
Hear them say ""You want some more?""
Living on a see-saw

[Hook]

A child is born with no state of mind
Blind to the ways of mankind
God is smiling on you but he's frowning too
Because only God knows what you'll go through
You'll grow in the ghetto living second-rate
And your eyes will sing a song called deep hate
The places you play and where you stay
Looks like one great big alleyway
You'll admire all the number-book takers
Thugs, pimps and pushers and the big money-makers
Driving big cars, spending twenties and tens
And you'll wanna grow up to be just like them, huh
Smugglers, scramblers, burglars, gamblers
Pickpocket peddlers, even panhandlers
You say ""I'm cool, huh, I'm no fool""
But then you wind up dropping outta high school
Now you're unemployed, all null and void
Walking round like you're Pretty Boy Floyd
Turned stick-up kid, but look what you done did
Got sent up for a eight-year bid
Now your manhood is took and you're a Maytag
Spend the next two years as a undercover fag
Being used and abused to serve like hell
Til one day, you was found hung dead in the cell
It was plain to see that your life was lost
You was cold and your body swung back and forth
But now your eyes sing the sad, sad song
Of how you lived so fast and died so young so

[Hook]"
27,Ray Charles,What'd I Say,Rhythm & Blues   ,1959, 
28,John Lennon,Imagine,"Pop,Singer/Songwriter  ",1971,"Imagine there's no heaven
It's easy if you try
No hell below us
Above us only sky
Imagine all the people
Living for today... Aha-ah...

Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion, too
Imagine all the people
Living life in peace... You...

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will be as one

Imagine no possessions
I wonder if you can
No need for greed or hunger
A brotherhood of man
Imagine all the people
Sharing all the world... You...

You may say I'm a dreamer
But I'm not the only one
I hope someday you'll join us
And the world will live as one"
29,Sam Cooke,A Change Is Gonna Come,Deep Soul   ,1964,"I was born by the river in a little tent
Oh, and just like the river I've been running ever since

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will

It's been too hard living, but I'm afraid to die
'Cause I don't know what's up there beyond the sky

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will

I go to the movie and I go downtown
Somebody keep telling me don't hang around

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will

Then I go to my brother
And I say, ""Brother, help me please""
But he winds up knockin' me
Back down on my knees

There've been times that I thought I couldn't last for long
But now I think I'm able to carry on

It's been a long, a long time coming
But I know a change gon' come, oh yes, it will"
30,David Bowie,"""Heroes""",Art Rock   ,1977,"I, I will be king
And you, you will be queen
Though nothing will drive them away
We can beat them just for one day
We can be heroes just for one day

And you, you can be mean
And I, I'll drink all the time
'Cause we're lovers, and that is a fact
Yes, we're lovers, and that is that

Though nothing will keep us together
We could steal time just for one day
We can be heroes forever and ever
What d'you say?

I, I wish you could swim
Like the dolphins, like dolphins can swim

Though nothing, nothing will keep us together
We can beat them forever and ever
Oh, we can be heroes just for one day

I, I will be king
And you, you will be queen
Though nothing will drive them away
We can be heroes, just for one day
We can be us just for one day

I, I can remember (I remember)
Standing by the wall (By the wall)
And the guns shot above our heads (Over our heads)
And we kissed as though nothing could fall (Nothing could fall)

And the shame was on the other side
Oh, we can beat them forever and ever
Then we could be heroes just for one day

We can be heroes
We can be heroes
We can be heroes just for one day
We can be heroes

We're nothing, and nothing will help us
Maybe we're lying, then you better not stay
But we could be safer just for one day
Oh-oh-oh-oh, oh-oh-oh-oh, just for one day"
31,Prince and The Revolution,When Doves Cry,"Film Soundtrack,Pop Rock,Synthpop ",1984, 
32,Stevie Wonder,Superstition,"Funk,Soul  ",1972,"Very superstitious, writings on the wall, 
Very superstitious, ladders 'bout to fall, 
Thirteen-months-old baby broke the lookin' glass 
Seven years of bad luck, the good things in your past

When you believe in things that you don't understand, 
Then you suffer, 
Superstition ain't the way 

Very superstitious, wash your face and hands, 
Rid me of the problem, do all that you can, 
Keep me in a daydream, keep me goin' strong, 
You don't wanna save me, sad is my song 

When you believe in things that you don't understand, 
Then you suffer, 
Superstition ain't the way, yeah, yeah 

Very superstitious, nothin' more to say, 
Very superstitious, the devil's on his way, 
Thirteen-months-old baby broke the lookin' glass, 
Seven years of bad luck, good things in your past 

When you believe in things that you don't understand, 
Then you suffer, superstition ain't the way, no, no, no"
