Rank,Artist,Song,Genre,Year,Lyrics
11,Michael Jackson,Billie Jean,"Contemporary R&B,Pop  ",1982,"She was more like a beauty queen
From a movie scene
I said, ""Don't mind, but what do you mean
I am the one
Who will dance on the floor in the round?""
She said I am the one
Who will dance on the floor in the round

She told me her name was Billie Jean
As she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the round

People always told me, ""Be careful of what you do.
And don't go around breaking young girls' hearts.""
And mother always told me, ""A-be careful of who you love,
And be careful of what you do
'Cause the lie becomes the truth.""

Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one
But the kid is not my son

For forty days and for forty nights
Law was on her side
But who can stand
When she's in demand
Her schemes and plans
'Cause we danced on the floor in the round
So take my strong advice
Just remember to always think twice
(Do think twice, do think twice.)

She told, ""My baby, we'd danced 'til three.""
Then she looked at me
Then showed a photo of a baby cry
His eyes looked like mine, oh, no
Do a dance on the floor in the round, baby

A-people always told me, ""Be careful of what you do
And don't go around breaking young girls' hearts.""
(Don't break no heart.)
A-but she came and stood right by me
And just the smell of sweet perfume
And this happened much too soon
And she called me to her room

Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
(No, no, no, no, no, no, no, no.)
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one
But the kid is not my son

She says I am the one
But the kid is not my son

No, no, no

Billie Jean is not my lover
She's just a girl who claims that I am the one
(No, there's not me, baby.)
But the kid is not my son
(No, no, no, no, no, no, no.)
She says I am the one (No, babe.)
But the kid is not my son, no, no, no

She says I am the one
You know what you did
She says he is my son
Breaking my heart, babe
She says I am the one

Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
She is the one
Billie Jean is not my lover
She is the one
Don't call me Billie Jean
Billie Jean is not my lover
She is the one
She stumbled onto the scene
Billie Jean is not my lover
Billie Jean is not my lover"
12,Elvis Presley,Heartbreak Hotel,Rockabilly   ,1956,"Well, since my baby left me
Well, I found a new place to dwell
Well, it's down at the end of Lonely Street
At Heartbreak Hotel

Where I'll be, I'll be so lonely baby
Well, I'm so lonely
I'll be so lonely, I could die

Although it's always crowded
You still can find some room
For broken-hearted lovers
To cry there in their gloom

They'll be so, they'll be so lonely baby
They get so lonely
They're so lonely, they could die

Now, the bell hop's tears keep flowin'
And the desk clerk's dressed in black
Well, they've been so long on Lonely Street
They'll never, never look back

And they get so, they get so lonely baby
Well they are so lonely
They're so lonely, they could die

Well, now, if your baby leaves you
And you got a tale to tell
Well, just take a walk down Lonely Street
To Heartbreak Hotel

Where you will be, you will be so lonely baby
Well you will be lonely
You'll be so lonely, you could die

Although it's always crowded
But you still can find some room
For broken-hearted lovers to cry there in their gloom

Where they get so, they get so lonely baby
Well they're so lonely
They'll be so lonely, they could die"
13,Bruce Springsteen,Born to Run,"Heartland Rock,Pop Rock  ",1975,"In the day, we sweat it out on the streets
Of a runaway American dream
At night, we ride through mansions of glory
In suicide machines
Sprung from cages out on Highway 9
Chrome wheeled, fuel injected and steppin' out over the line
Oh, baby this town rips the bones from your back
It's a death trap, it's a suicide rap
We gotta get out while we're young
'Cause tramps like us, baby we were born to run
Yes, girl, we were

Wendy let me in, I wanna be your friend
I want to guard your dreams and visions
Just wrap your legs 'round these velvet rims
And strap your hands across my engines
Together we could break this trap
We'll run till we drop, baby we'll never go back
Oh, will you walk with me out on the wire?
'Cause baby I'm just a scared and lonely rider
But I gotta know how it feels
I want to know if love is wild, babe
I want to know if love is real
Oh, can you show me?

Beyond the palace, hemi-powered drones
Scream down the boulevard
The girls comb their hair in rearview mirrors
And the boys try to look so hard
The amusement park rises bold and stark
Kids are huddled on the beach in a mist
I wanna die with you, Wendy, on the streets tonight
In an everlasting kiss

(1, 2, 3, 4) The highways jammed with broken heroes
On a last chance power drive
Everybody's out on the run tonight
But there's no place left to hide
Together, Wendy, we can live with the sadness
I'll love you with all the madness in my soul
Oh, someday girl, I don't know when
We're gonna get to that place
Where we really want to go, and we'll walk in the sun
But till then, tramps like us
Baby, we were born to run

Oh honey, tramps like us
Baby, we were born to run
Come on with me, tramps like us
Baby, we were born to run"
14,The Who,My Generation,"Mod,Proto-Punk  ",1965, 
15,Joy Division,Love Will Tear Us Apart,Post-Punk   ,1980,"When routine bites hard,
And ambitions are low,
And resentment rides high,
But emotions won't grow,
And we're changing our ways,
Taking different roads.

Then love, love will tear us apart again.
Love, love will tear us apart again.

Why is the bedroom so cold?
You've turned away on your side.
Is my timing that flawed?
Our respect runs so dry.
Yet there's still this appeal
That we've kept through our lives.

But love, love will tear us apart again.
Love, love will tear us apart again.

You cry out in your sleep,
All my failings exposed.
And there's a taste in my mouth,
As desperation takes hold.
Just that something so good
Just can't function no more.

But love, love will tear us apart again.
Love, love will tear us apart again.
Love, love will tear us apart again.
Love, love will tear us apart again."
16,The Beach Boys,God Only Knows,"Art Pop,Baroque Pop,Progressive Pop,Sunshine Pop",1966, 
17,Otis Redding,(Sittin' On) The Dock of the Bay,Southern Soul   ,1968,"Sittin' in the morning sun
I'll be sittin' when the evening comes
Watching the ships roll in
Then I watch them roll away again, yeah

I'm sittin' on the dock of the bay
Watchin' the tide roll away, ooh
I'm just sittin' on the dock of the bay
Wastin' time

I left my home in Georgia
Headed for the Frisco Bay
'Cause I've had nothing to live for
And look like nothing's gonna come my way

So, I'm just gon' sit on the dock of the bay
Watchin' the tide roll away, ooh
I'm sittin' on the dock of the bay
Wastin' time

Looks like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, listen

Sittin' here resting my bones
And this loneliness won't leave me alone, listen
Two thousand miles I roam
Just to make this dock my home, now

I'm just gon' sit at the dock of a bay
Watchin' the tide roll away, ooh
Sittin' on the dock of the bay
Wastin' time

[Ends in harmonic whistling]"
18,OutKast,Hey Ya!,Pop Soul   ,2003,"[André 3000:]
One, two, three, uh!

My baby don't mess around
Because she loves me so, and this I know for sure (Uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
'Cause the thought alone is killing me right now (Uh)
Thank God for Mom and Dad
For sticking two together 'cause we don't know how (C'mon)

Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!

You think you've got it, oh, you think you've got it
But ""got it"" just don't get it 'til there's nothing at all (Ah!)
We get together, oh, we get together
But separate's always better when there's feelings involved (Ah)
If what they say is, ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes love the exception?
So why oh, why oh, why oh, why oh, why oh
Are we so in denial when we know we're not happy here?
Y'all don't wanna hear me, you just wanna dance

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Don't want to meet your daddy
Hey ya! (Uh-oh)
Just want you in my Caddy (Uh-oh)
Hey ya! (Uh-oh)
Don't want to meet your mama (Uh-oh)
Hey ya! (Uh-oh)
Just want to make you cum-a' (Uh-oh)
Hey ya! (Uh-oh)
I'm, I'm, I'm, I'm just being honest (Uh-oh)
Hey ya!
I'm just being honest

Hey, all right now, all right now, fellas (Yeah?)
Now, what's cooler than being cool? (Ice Cold!)
I can't hear ya
I say what's, what's cooler than being cool? (Ice Cold!)
All right, all right, all right, all right, all right, all right, all right, all right
All right, all right, all right, all right, all right, all right
Okay now, ladies (Yeah?)
Now, we gon' break this thing down in just a few seconds
Now, don't have me break this thing down for nothing
Now, I want to see y'all on your baddest behavior
Lend me some sugar, I am your neighbor
Ah, here we go!

Shake it, sh-shake it, shake it, sh-shake it (Uh-oh)
Shake it, sh-shake it, shake it, shake it, sh-shake it (Uh-oh)
Shake it like a Polaroid picture, hey ya!
Shake it, sh-shake it, shake it, sh-shake it
Shake it, shake it (Okay), shake it, sugar
Shake it like a Polaroid picture

Now, all the Beyoncés and Lucy Lius
And baby dolls, get on the floor
You know what to do, oh, you know what to do
You know what to do

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh, hey ya!)
Hey ya! (Uh-oh) Hey ya! (Oh, oh, uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! Hey ya!"
19,Sex Pistols,Anarchy in the U.K.,Punk Rock   ,1976,"Right
Now
ha ha ha ha ha...

I am an antichrist
I am an anarchist
Don't know what I want
But I know how to get it
I wanna destroy passer by

Cause I
Wanna be
Anarchy
No dogs body

Anarchy for the UK
It's coming sometime and maybe
I give a wrong time stop at traffic line
Your future dream is a shopping scheme

Cause I
I wanna be
Anarchy
In the city

How many ways to get what you want
I use the best
I use the rest
I use the enemy
I use anarchy

Cause I
Wanna be
Anarchy
It's the only way to be

Is this the M.P.L.A
Or is this the U.D.A
Or is this the I.R.A
I thought it was the UK
Or just
Another
Country
Another council tenancy

I wanna be
Anarchy
And I wanna be
Anarchy
Know what I mean
And I wanna be
Anarchist
Get pissed
Destroy"
20,M.I.A.,Paper Planes,"Political Hip Hop,Pop Rap,UK Hip Hop ",2007,"I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait

I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait

Sometimes I think sitting on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

Sometimes I think sitting on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system

Pirate skulls and bones
Sticks and stones and weed and bombs
Running when we hit 'em
Lethal poison for the system

No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hell just pumping that gas

No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hell just pumping that gas

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

M.I.A.
Third world democracy
Yeah, I got more records than the K.G.B.
So, uh, no funny business
Are you ready all?

Some some some I some I murder
Some I some I let go
Some some some I some I murder
Some I some I let go

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money

All I wanna do is
And a
And take your money"
